ps,,/Raised_Cosine_Transmit_Filter_tb/Out1
d,elta,
365000000,2,0.641845703
365001000,1,0.639160156
366000000,2,0.519287109
367000000,2,0.198486328
368000000,2,-0.198730469
369000000,2,-0.51953125
370000000,2,-0.642089844
370001000,1,-0.639404297
371000000,2,-0.51953125
372000000,2,-0.198730469
373000000,2,0.198486328
374000000,2,0.519287109
375000000,2,0.641845703
375001000,1,0.639160156
376000000,2,0.519287109
377000000,2,0.198486328
378000000,2,-0.198730469
379000000,2,-0.51953125
380000000,2,-0.642089844
380001000,1,-0.639404297
381000000,2,-0.51953125
382000000,2,-0.198730469
383000000,2,0.198486328
384000000,2,0.519287109
385000000,2,0.641845703
385001000,1,0.639160156
386000000,2,0.519287109
387000000,2,0.198486328
388000000,2,-0.198730469
389000000,2,-0.51953125
390000000,2,-0.642089844
390001000,1,-0.639404297
391000000,2,-0.51953125
392000000,2,-0.198730469
393000000,2,0.198486328
394000000,2,0.519287109
395000000,2,0.641845703
395001000,1,0.639160156
396000000,2,0.519287109
397000000,2,0.198486328
398000000,2,-0.198730469
399000000,2,-0.51953125
400000000,2,-0.642089844
400001000,1,-0.639404297
401000000,2,-0.51953125
402000000,2,-0.198730469
403000000,2,0.198486328
404000000,2,0.519287109
405000000,2,0.641845703
405001000,1,0.639160156
406000000,2,0.519287109
407000000,2,0.198486328
408000000,2,-0.198730469
409000000,2,-0.51953125
410000000,2,-0.642089844
410001000,1,-0.639404297
411000000,2,-0.51953125
412000000,2,-0.198730469
413000000,2,0.198486328
414000000,2,0.519287109
415000000,2,0.641845703
415001000,1,0.639160156
416000000,2,0.519287109
417000000,2,0.198486328
418000000,2,-0.198730469
419000000,2,-0.51953125
420000000,2,-0.642089844
420001000,1,-0.639404297
421000000,2,-0.51953125
422000000,2,-0.198730469
423000000,2,0.198486328
424000000,2,0.519287109
425000000,2,0.641845703
425001000,1,0.639160156
426000000,2,0.519287109
427000000,2,0.198486328
428000000,2,-0.198730469
429000000,2,-0.51953125
430000000,2,-0.642089844
430001000,1,-0.639404297
431000000,2,-0.51953125
432000000,2,-0.198730469
433000000,2,0.198486328
434000000,2,0.519287109
435000000,2,0.641845703
435001000,1,0.639160156
436000000,2,0.519287109
437000000,2,0.198486328
438000000,2,-0.198730469
439000000,2,-0.51953125
440000000,2,-0.642089844
440001000,1,-0.639404297
441000000,2,-0.51953125
442000000,2,-0.198730469
443000000,2,0.198486328
444000000,2,0.519287109
445000000,2,0.641845703
445001000,1,0.639160156
446000000,2,0.519287109
447000000,2,0.198486328
448000000,2,-0.198730469
449000000,2,-0.51953125
450000000,2,-0.642089844
450001000,1,-0.639404297
451000000,2,-0.51953125
452000000,2,-0.198730469
453000000,2,0.198486328
454000000,2,0.519287109
455000000,2,0.641845703
455001000,1,0.639160156
456000000,2,0.519287109
457000000,2,0.198486328
458000000,2,-0.198730469
459000000,2,-0.51953125
460000000,2,-0.642089844
460001000,1,-0.639404297
461000000,2,-0.51953125
462000000,2,-0.198730469
463000000,2,0.198486328
464000000,2,0.519287109
465000000,2,0.641845703
465001000,1,0.639160156
466000000,2,0.519287109
467000000,2,0.198486328
468000000,2,-0.198730469
469000000,2,-0.51953125
470000000,2,-0.642089844
470001000,1,-0.639404297
471000000,2,-0.51953125
472000000,2,-0.198730469
473000000,2,0.198486328
474000000,2,0.519287109
475000000,2,0.641845703
475001000,1,0.639160156
476000000,2,0.519287109
477000000,2,0.198486328
478000000,2,-0.198730469
479000000,2,-0.51953125
480000000,2,-0.642089844
480001000,1,-0.639404297
481000000,2,-0.51953125
482000000,2,-0.198730469
483000000,2,0.198486328
484000000,2,0.519287109
485000000,2,0.641845703
485001000,1,0.639160156
486000000,2,0.519287109
487000000,2,0.198486328
488000000,2,-0.198730469
489000000,2,-0.51953125
490000000,2,-0.642089844
490001000,1,-0.639404297
491000000,2,-0.51953125
492000000,2,-0.198730469
493000000,2,0.198486328
494000000,2,0.519287109
495000000,2,0.641845703
495001000,1,0.639160156
496000000,2,0.519287109
497000000,2,0.198486328
498000000,2,-0.198730469
499000000,2,-0.51953125
500000000,2,-0.642089844
500001000,1,-0.639404297
501000000,2,-0.51953125
502000000,2,-0.198730469
503000000,2,0.198486328
504000000,2,0.519287109
505000000,2,0.641845703
505001000,1,0.639160156
506000000,2,0.519287109
507000000,2,0.198486328
508000000,2,-0.198730469
509000000,2,-0.51953125
510000000,2,-0.642089844
510001000,1,-0.639404297
511000000,2,-0.51953125
512000000,2,-0.198730469
513000000,2,0.198486328
514000000,2,0.519287109
515000000,2,0.641845703
515001000,1,0.639160156
516000000,2,0.519287109
517000000,2,0.198486328
518000000,2,-0.198730469
519000000,2,-0.51953125
520000000,2,-0.642089844
520001000,1,-0.639404297
521000000,2,-0.51953125
522000000,2,-0.198730469
523000000,2,0.198486328
524000000,2,0.519287109
525000000,2,0.641845703
525001000,1,0.639160156
526000000,2,0.519287109
527000000,2,0.198486328
528000000,2,-0.198730469
529000000,2,-0.51953125
530000000,2,-0.642089844
530001000,1,-0.639404297
531000000,2,-0.51953125
532000000,2,-0.198730469
533000000,2,0.198486328
534000000,2,0.519287109
535000000,2,0.641845703
535001000,1,0.639160156
536000000,2,0.519287109
537000000,2,0.198486328
538000000,2,-0.198730469
539000000,2,-0.51953125
540000000,2,-0.642089844
540001000,1,-0.639404297
541000000,2,-0.51953125
542000000,2,-0.198730469
543000000,2,0.198486328
544000000,2,0.519287109
545000000,2,0.641845703
545001000,1,0.639160156
546000000,2,0.519287109
547000000,2,0.198486328
548000000,2,-0.198730469
549000000,2,-0.51953125
550000000,2,-0.642089844
